NZ_CM002918.1_2257	GCF_000762955.1	F0129_01
NZ_KN234831.1_1034	GCF_000764285.1	F0129_01
NZ_CM002918.1_538	GCF_000762955.1	F0129_02
NZ_JRTS01000033.1_19	GCF_000765455.1	F0129_02
NZ_AZLN01000003.1_35	GCF_000762245.1	F0129_02
NZ_KN234831.1_2767	GCF_000764285.1	F0129_02
NZ_CM002918.1_1116	GCF_000762955.1	F0129_03
NZ_KN234831.1_2216	GCF_000764285.1	F0129_03
NZ_KN234831.1_815	GCF_000764285.1	F0129_04
NZ_CM002918.1_2654	GCF_000762955.1	F0129_05
NZ_JRTS01000209.1_1	GCF_000765455.1	F0129_05
NZ_AZLN01000006.1_79	GCF_000762245.1	F0129_05
NZ_AZLN01000031.1_16	GCF_000762245.1	F0129_05
NZ_KN234831.1_627	GCF_000764285.1	F0129_05
NZ_CM002918.1_2160	GCF_000762955.1	F0129_06
NZ_JRTS01000121.1_38	GCF_000765455.1	F0129_06
NZ_KN234831.1_1136	GCF_000764285.1	F0129_06
NZ_CM002918.1_1642	GCF_000762955.1	F0129_07
NZ_KN234831.1_1725	GCF_000764285.1	F0129_07
NZ_CM002918.1_287	GCF_000762955.1	F0129_08
NZ_KN234831.1_3022	GCF_000764285.1	F0129_08
NZ_CM002918.1_1484	GCF_000762955.1	F0129_09
NZ_JRTS01000271.1_3	GCF_000765455.1	F0129_09
NZ_KN234831.1_1882	GCF_000764285.1	F0129_09
NZ_CM002918.1_303	GCF_000762955.1	F0129_10
NZ_KN234831.1_3004	GCF_000764285.1	F0129_10
NZ_AZLN01000026.1_10	GCF_000762245.1	F0129_11
NZ_CM002918.1_2434	GCF_000762955.1	F0129_12
NZ_KN234831.1_839	GCF_000764285.1	F0129_12
NZ_CM002918.1_2108	GCF_000762955.1	F0129_13
NZ_JRTS01000007.1_18	GCF_000765455.1	F0129_13
NZ_AZLN01000001.1_49	GCF_000762245.1	F0129_13
NZ_KN234831.1_1189	GCF_000764285.1	F0129_13
NZ_JRTS01000187.1_12	GCF_000765455.1	F0129_14
NZ_CM002918.1_2443	GCF_000762955.1	F0129_15
NZ_JRTS01000178.1_3	GCF_000765455.1	F0129_15
NZ_KN234831.1_830	GCF_000764285.1	F0129_15
NZ_CM002918.1_1065	GCF_000762955.1	F0129_16
NZ_JRTS01000023.1_12	GCF_000765455.1	F0129_16
NZ_AZLN01000008.1_155	GCF_000762245.1	F0129_16
NZ_KN234831.1_2270	GCF_000764285.1	F0129_16
NZ_JRTS01000124.1_23	GCF_000765455.1	F0129_17
NZ_AZLN01000003.1_252	GCF_000762245.1	F0129_17
NZ_CM002918.1_1064	GCF_000762955.1	F0129_18
NZ_JRTS01000023.1_11	GCF_000765455.1	F0129_18
NZ_AZLN01000008.1_156	GCF_000762245.1	F0129_18
NZ_KN234831.1_2271	GCF_000764285.1	F0129_18
NZ_JRTS01000124.1_24	GCF_000765455.1	F0129_19
NZ_AZLN01000003.1_253	GCF_000762245.1	F0129_19
NZ_JRTS01000154.1_4	GCF_000765455.1	F0129_20
NZ_CM002918.1_403	GCF_000762955.1	F0129_21
NZ_JRTS01000163.1_3	GCF_000765455.1	F0129_21
NZ_AZLN01000030.1_130	GCF_000762245.1	F0129_21
NZ_KN234831.1_2910	GCF_000764285.1	F0129_21
NZ_CM002918.1_1823	GCF_000762955.1	F0129_22
NZ_CM002918.1_3127	GCF_000762955.1	F0129_22
NZ_AZLN01000007.1_22	GCF_000762245.1	F0129_22
NZ_KN234831.1_1491	GCF_000764285.1	F0129_22
NZ_CM002918.1_864	GCF_000762955.1	F0129_23
NZ_CM002918.1_1230	GCF_000762955.1	F0129_23
NZ_KN234831.1_2424	GCF_000764285.1	F0129_23
NZ_AZLN01000034.1_30	GCF_000762245.1	F0129_24
NZ_AZLN01000030.1_32	GCF_000762245.1	F0129_25
NZ_CM002918.1_846	GCF_000762955.1	F0129_26
NZ_JRTS01000030.1_35	GCF_000765455.1	F0129_26
NZ_AZLN01000001.1_187	GCF_000762245.1	F0129_26
NZ_KN234831.1_2442	GCF_000764285.1	F0129_26
NZ_AZLN01000034.1_31	GCF_000762245.1	F0129_27
NZ_AZLN01000001.1_188	GCF_000762245.1	F0129_28
NZ_CM002918.1_845	GCF_000762955.1	F0129_29
NZ_JRTS01000030.1_34	GCF_000765455.1	F0129_29
NZ_AZLN01000030.1_31	GCF_000762245.1	F0129_29
NZ_KN234831.1_2443	GCF_000764285.1	F0129_29
NZ_CM002918.1_575	GCF_000762955.1	F0129_30
NZ_JRTS01000033.1_4	GCF_000765455.1	F0129_30
NZ_AZLN01000034.1_93	GCF_000762245.1	F0129_30
NZ_KN234831.1_2730	GCF_000764285.1	F0129_30
NZ_CM002918.1_576	GCF_000762955.1	F0129_31
NZ_JRTS01000033.1_5	GCF_000765455.1	F0129_31
NZ_AZLN01000034.1_92	GCF_000762245.1	F0129_31
NZ_KN234831.1_2729	GCF_000764285.1	F0129_31
NZ_JPSU01000015.1_4	GCF_000764285.1	F0129_32
NZ_CM002918.1_323	GCF_000762955.1	F0129_33
NZ_KN234831.1_2985	GCF_000764285.1	F0129_33
NZ_CM002918.1_1346	GCF_000762955.1	F0129_34
NZ_KN234831.1_2024	GCF_000764285.1	F0129_34
NZ_CM002918.1_442	GCF_000762955.1	F0129_35
NZ_AZLN01000034.1_100	GCF_000762245.1	F0129_35
NZ_KN234831.1_1643	GCF_000764285.1	F0129_35
NZ_KN234831.1_2871	GCF_000764285.1	F0129_35
NZ_JRTS01000152.1_16	GCF_000765455.1	F0129_36
NZ_CM002918.1_1105	GCF_000762955.1	F0129_37
NZ_AZLN01000003.1_93	GCF_000762245.1	F0129_37
NZ_KN234831.1_2228	GCF_000764285.1	F0129_37
NZ_AZLN01000006.1_70	GCF_000762245.1	F0129_38
NZ_CM002918.1_2985	GCF_000762955.1	F0129_39
NZ_JRTS01000181.1_15	GCF_000765455.1	F0129_39
NZ_KN234831.1_304	GCF_000764285.1	F0129_39
NZ_CM002918.1_153	GCF_000762955.1	F0129_40
NZ_AZLN01000003.1_281	GCF_000762245.1	F0129_40
NZ_KN234831.1_106	GCF_000764285.1	F0129_40
NZ_AZLN01000003.1_101	GCF_000762245.1	F0129_41
NZ_CM002918.1_1469	GCF_000762955.1	F0129_42
NZ_KN234831.1_1898	GCF_000764285.1	F0129_42
NZ_CM002918.1_280	GCF_000762955.1	F0129_43
NZ_JRTS01000077.1_12	GCF_000765455.1	F0129_43
NZ_AZLN01000034.1_24	GCF_000762245.1	F0129_43
NZ_KN234831.1_3029	GCF_000764285.1	F0129_43
NZ_CM002918.1_2594	GCF_000762955.1	F0129_44
NZ_KN234831.1_689	GCF_000764285.1	F0129_44
NZ_CM002918.1_2253	GCF_000762955.1	F0129_45
NZ_JRTS01000155.1_19	GCF_000765455.1	F0129_45
NZ_KN234831.1_1038	GCF_000764285.1	F0129_45
NZ_CM002918.1_2322	GCF_000762955.1	F0129_46
NZ_JRTS01000166.1_4	GCF_000765455.1	F0129_46
NZ_AZLN01000007.1_8	GCF_000762245.1	F0129_46
NZ_KN234831.1_965	GCF_000764285.1	F0129_46
NZ_CM002918.1_2350	GCF_000762955.1	F0129_47
NZ_JRTS01000185.1_10	GCF_000765455.1	F0129_47
NZ_AZLN01000003.1_322	GCF_000762245.1	F0129_47
NZ_KN234831.1_937	GCF_000764285.1	F0129_47
NZ_AZLN01000001.1_56	GCF_000762245.1	F0129_48
NZ_AZLN01000031.1_22	GCF_000762245.1	F0129_49
NZ_CM002918.1_2074	GCF_000762955.1	F0129_50
